Puan	Yorum
0.0	Telefon gayet şık ve kullanışlı. Fakat çok büyük bir problemi var. Almayı düşünenler bunu göze alarak karar versinler. Telefonda GPS teknolojisi yok. Evet yanlış duymadınız bu özellik yok. Var olduğu belirtiliyor fakat kesinlikle yerinizi tespit edemiyor ve konum bulup adresleme konusunda hiçbir fonksiyonu bulunmuyor. Servise gönderip bu sorununu çözenler olmuş. Ben de şansımı denedim ve İki kere servise gönderdim çare bulunamadan geri geldi. Şimdi bir kez daha yolladım sorunu başka bir nedene bağlamaya çalıştılar ama ben yemedim tabi ki çünkü daha önce de kullanmışlığım olduğu için Venüs telefonlardaki kronik GPS problemini biliyorum. Durumu izah edince tekrar geri döneceklerini belirttiler. Bakalım bekliyoruz. Durum sonuçlanınca buradan tekrardan yorumumu yaparım.
1.0	ürün ülkemizdeki modelinden farklı. bu farklılık olumlu tabiki. üzerinde qualcomm snapdragon 615 işlemci var. türkiye garantililerde ise exynos 5 5430 işlemcili. qualcomm da nfs var. daha hızlı akıcı pili harcamayan yapısıyla öne çıkıyor. diğer bütün özellikleri aynı. 4.5 G yok. maksumum 4 G ile çalışıyor. çift sim sorunsuz çalışıyor. kasa mükemmel. kutudan ilk açtığınızda çin için üretilmiş bir a8 çıkıyor. dil seçeneğini türkçe yaptıktan sonra türkiye için gerekli ayarlamaları yapıyorsunuz. sonuç harika. tek fark işlemci farkı. buna dayalı 4 g tabikiben alalı 3 gün oldu ve çok memnun kaldım. tavsiye ederim.
0.0	LG den uzak durun derim.2. Lg alisim bir daha tovbe.isletim sistemi hatali cikti ikiside
0.0	Berbat
0.0	merhaba,Hb ya güvenip satıcı hb olan G4 , Lg G4 lerde genel anakart problemi var , araştırabilirsiniz ,Lg Türkiye ürünü ücretsiz tamir ya da değişim yaparken hepsi burada sizi Evo servise yönlendiriyor servis kullanıcı hatası deyip sizden uçuk ücret talep ediyor, HB sizi telefonla bile arama gereği duymuyor karar sizin alacağınız cihaz garantisizmiş gibi düşünün karar sizin .
1.0	Oncelikle herkese mrb. Siparişi c.tesi öğlen 1 de verdim ve 5 te elime ulaştı bu kadar hızlı teslimat için hepsi burada yetkililerine cok tesekkür ediyorum.. Kargolamalarıda çok özenli yapılmıştı. Hepsi buradadan şaşmam bundan sonra.. Ürüne gelince tek kelime ile mükemmel hiç dusunmenize gerek yok..
0.0	Hepsiburada dan almamıştım ama kronik sorunlu bir telefondur aldım direk bozuk çıktı ve 1 sene uğraştım tavsiye etmem.
1.0	Ürün çok iyi kasma vs yok. 2019 A70 önerilir.
1.0	Ürünü iyi paketleyip göndermişler zamanında teslimat
0.0	Maalesef eski teknoloji, bu nedenle günümüzün ihtiyaçlarına cevap vermekten çok uzak. Tavsiye etmiyorum.
0.0	Telefonumu 3 yıl önce aldım Suya düşürdüm sağlam telefonumuş hala çalışıyor.Kamerasından çok memnunum Aslında genel olarak memnunum diyebilirim ama tek sıkıntı hızlı tükenen şarj powerbank olmadan dışarı çıkamıyorum. Ve çok ısınıyor. Şarj çok sıkıntı o yüzden asla tavsiye etmiyorum. Olumlu yönlerini de alıp götürüyor bu sıkıntı
1.0	kullanışlı güzel bir telefon. Benim kargolarımı ptt kargodan göndermeyin.
0.0	İk yıldız Yeter özellik ve fiyat için... Arızası bitmiyor ses sıkıntısı var... yerli dedik mill&#238; dedik ama pişmanlık hüsran... Samsung'dan vazgecmicem...
1.0	Aralik ayinda anneme telefon almal istedigimde 1100-1200 tl araligindaki tum telefonlari inceledim, butun yorumları ve incelemeleri okudum. Kendim Samsung Note 5 kullaniyorum. En sonunda fiyat - performans acisindan en uygun olan Hepsiburada'dan Vestel Venus Z10 telefonu aldim. Cok cok memnun kaldik. Kapasitesi muhtesem. Kullanim, internette dolasma, uygulamalari calistirma vs.. yapamadigi is yok. Son derece kullanisli bir telefon. Siyah renkli olanini aldik. Inceligi ve estetikligini cok sevdik. Babamin telefonunu degistirirken de ayni modelden almayi dusunuyoruz. Hepsiburada'dan Z10 u guvenle alabilirsiniz.
1.0	Genel olarak iyi ön kamerası güzel, arka kamerası karanlıkta iyi çekmiyor kapalı ortamda görüntü net olmuyor. Ama açık havada arka kamera çekimleri çok başarılı. Belki de ben ayarlamalarını ypamadım emin değilim. Kargo hızlı ve sorunsuz geliyor onu düşünmeyin. Hepsi burada bu konuda başarılı
0.0	Telefonu Tavsiye Etmiyorum Çift Hat Performansı Düşük Kaç Kez Servise Götürdüm En Sonunda Ana Kartı Değiştirdiler Yinede Donmalar Yaşadım Daha 2 Yıl Dolar Dolmaz Batarya %40 Gelince Kapanma Göstermeye Başladı. Performans Olarak Kullanılabilecek Bir Cihaz Değildir.Samsung Türkiye Garanti Olmasına Rağmen Memnun Kalmadığım Bir Telefon Oldu.
1.0	Telefon elime 5 gün önce ulaştı.Hepsi burada gerçekten kaliteli ürünler satıyor ve güvenilir...Gelelim telefona,tek eksisi batarya normal bir kullanımda 1-1,5 gün aralığında zor gidiyor...kamerası çok güzel,ses kalitesi mükemmel...işlemci çok iyi..wifi çekim gücü iyi..ürünün özelliklerinde çift sim ve radyo olmamasına rağmen bendeki üründe her ikisi de var zararı yok faydası var bence..kısacası herkese tavsiye ederim...
0.0	Arkadas ben 7 plus 8 plus ve en son olarak xX KULLANDIM ve birdaha asla ama asla iPhone kullanmam iPhone kaliteli hızlı sağlam olabilir ama işime yaramadıktan sonra neye yarar app store herşey ücretli App Store ve Google olay arasında dağlar kadar fark var müzikten tutunda indirme kolaylıkları her yönden Samsung bin kat daha kullanışlı bir telefon 
0.0	Paketleme çok basitti kutu zarar görmüştü ama telefon sağlamdı.
0.0	Kötü kamera, kötü kullanıcı deneyimi ve kalitesiz ürün kullanıyor hissi sizin için önemli değil ise alabilirsiniz.
0.0	sakin ha lg kadar vukuatli telefon markasi yok.
0.0	telefonun dokunmatik hassasiyeti gün geçtikçe düşüyor online bir oyunda takılıp kalıyor
0.0	bu telefonun genelde anakart sıkıntısı var.çoğunda bu böyle.bende de oldu.garanti de yaptırttım.şimdi de telefon delirdi olur olmadık uygulama açıyor mesaj atıyor arama yapıyor format attık kar etmedi.onun icin alacaklar dikkat etsin.
0.0	Ekranı soluk dokunmatik tusları kendi kendine yaziyo kamerası bulanık 5 para etmez bu paraya
0.0	bu üründen 2 tane aldım 2 ay önce sarj aleti şarj etmemeye bataryası ise ilk aya göre %20 az gitmeye başladı,aynı fiyata huawei ve oppo gibi telefonlar almak daha mantıklı gibi
0.0	Öncelikle bu cihazı kamera için almıştım. 3 kameralı diye şişirenlere ve kameradan anlamayıp bu kamerayı övenlere aldandım. kamerası tek kelime ile berbat. bende 2012 çıkışlı s4 vardı. o bile bunun kamerasından daha gerçekçi çekiyordu. telefon büyüklük olarak ideal.şarj olarak idare eder,. ekran kalitesi olarak emsallerine oranla çok iyi. fakat kamera için alacaksanız çok pişman olursunuz. yaklaşmayın....
0.0	2,5 senedir kullanıyorum.net söyleyeceğim 'almayın' performans ve kamera çok iyi ancak bu çöp olduğu gerçeğini değiştirmez. 2.5 senede 2 defa anakart yandı.oyun oynamama rağmen. 1 sene sonra batarya ömrü %60 azaldı. karar sizin son not :G5 te aynıymış
1.0	telefonu alırken defalarca tereddüt ettim enson güvenimi toplayıp telefonu aldim cok kibar ve cok hafif, arka kapağı deri olan modelini aldim yaninda birde orjinal plastik kapak geldi , kore uretimi ve delta garantili ısınma normal duzeyde şarj cihazı hızlı şarj cihazı. deri zaten tartışmasız kalite. bu fiyata mükemmel fazla düşünmeye gerek yok .
1.0	ürün güzel şarjı da iyi gidiyor 1 günü rahat çıkarıyor hala 1.5 gün gidiyor. çok kullanmama rağmen bitmiyor. Oyun oynarsanız farklı tabi çabuk biter.
1.0	Sorunsuz geldi.Gayet memnunum
1.0	6 gb ram ve 128 gb hafızası olan başka bir telefon markasında almış olunca 5000-6000 tl civarı ücret ödenmesi yerine uygun fiyat ile yüksek değerlikli bir telefon almış oluyorsunuz.Telefon kısa süre içerisinde ulaştı telefonda kasma diye birşey yok ısınma sorunu da yer almıyor.
1.0	canavaaaaar
0.0	Arkadaşlar macera aramayın uzak durun. Batarya performansı en büyük problemi ve diğeri hayalet ekran 6-7 ay sonra iyice belirgin olmaya başlıyor.
0.0	NFC olmaması büyük bir eksiklik,teknolojiye yakışmadı hiç olmadı.Bir daha samsung almıyacam
0.0	Servisine güvenmeyin camını bile değiştirmiyor servissiz telefon resmen
0.0	Hepsiburadadan aldığım ürünler içinde ilk defa hızlı olarak elime ulaşan ürün bu oldu. Telefonun hiçbir ekstra özelliği olmamasına rağmen konuşma ve mesaj için ideal olduğunu söyleyebilirim.
0.0	ürün çok kötü 2 yıl anca kullandım ısınıyor, şarj gitmiyor berbat aldığım için pişmanım
1.0	kamerası harika, şarjı çok iyi gidiyor, hızlı telefon ve satın aldıktan hemen birgün sonra teslim edildi
0.0	Xiaomi dedik, ekrandan parmak izi dedik bekledik. Ama fiyat olmadı.
1.0	Çok para vermem diyenler için. Ne kadar para o kadar özellik ve kalite. Parmak izi biraz daha iyi olabilirdi.
1.0	Adamlar yapmış telefona birsey diyemem 6 yıl oldu iphone 5c almistim ve hala calisiyor ne donma var ne kilitlenme ayni yilda alinan androit telefon olsaydi sizce calisirmiydi? Fiyat pahalli ama ios hakkini veriyor.
0.0	En iyi rota bulunuyor yazısı çıkıyor ve 4 saatte rota daha tanımlanacak !!! Ben telefona bakıyorum telefonda bana bakıyor .aman Allahım şehir dışında kayboldum
0.0	Kesinlikle fiyatına aldanıp almayın aldırmayın.Sözde oyun telefonu ama pugB ve guns of boom oyunlarında denedim iki oyunda da ekran donup kalıyor.İşlemcisi çok iyi deniyor ama face ve insta da akış çok yavaş ve donma oluyor.2 gün oldu alalı iade etmek üzereyim.Siz de sakın fiyat/performans yalanına inanmayın.
0.0	Apple 8plus kullanıyorum cihazlar stabil ve hızlı ama yeni nesil bir cihaza geçmek için çok sebep göremiyorum android çok daha hızlı yükselişte kusura bakmasın apple kullanıcıları bende aynı sebeplerden dolayı şikayetlerim var kulaklık senelerce kullanılan kulaklıklar vs..vs..aksesuar ücretleri gereksiz pahalı ve store ücretleri vs..vs..
1.0	Ürün vaktinde geldi. Beklediğimiz gibi güzeldi. Herhangi bir sorun yok. Kaliteli ve şık bir cihaz. Teşekkürler
1.0	Ürünü alalı 1 hafta oldu.Hiç bir sıkıntısı yoktur.1günde kargo elime ulaştı.Kapalı kutuda ve sağlam paketlenmiş.Ürün NOTE 4 sm910c modeli. türkçe dil ile ilgili hiç bir sıkıntısı yoktur.şarjı On numara 1.5 saatte Full şarj oluyor.adaptör biraz kaba oluyor sadece dönüştürücü yüzünden sıkıntı değil.sonuç olarak süper ürün güvenli satıcı teşekkürler 
0.0	Fiyat muadillerine göre eksisi var artısı yok hala ıpc lcd ekran kullanılan telefon kervanında devam ediyor muadil fiyatları amoled ekran olan telefon çok var ram işlemci hiç bir fark yok oyun oynuyor gazıyla pazarlanmaya çalışılan bir telefon ben bir fark göremedim gm9 pro ile aynı gm daha üstün bir örnek vermek gerekirse 
0.0	Bu fiyatlara bakılıp sadece gülünür parası çoooook olan alabilir orta ve alt seviyede hali olanlara da sadece acınır
0.0	Bunca özellik koyulmuşken NFC özelliğini neden koymazsınız. En işe yarayacak yerde kalıyorsunuz.....
1.0	Ürün çok çabuk elime ulaştı. Şarj cihazının buyük olmasını dert etmeyin zaten evde prizde takılı durması yeterli, şarjı bir günü rahat çıkarıyor ayrıca hızlı şarj özelliği işe 1,5 saatte şarj oluyor.
1.0	telefon elime geçti ilk yorum olarak şunu diyebilirim beklediğimden fazla çıktı çoğu kişiyi tatmin edecektir gayet hızlı ve stabil çalışıyor bazı arkadaşlar parmak izi için olumsuz yorum yapmış ama ben çok rastlamadım gayet iyi çalışıyor tek sıkıntı sürat kargo ile göndermeleri çok sorun yaşadım takip bilgisi yok zamanında teslimat yok kargolar çöp gibi yığılı sağa sola atıyorlaro kadar para veriyoruz telefon için kargo ücreti alınıyor sorun değil ama bize kargo seçme şansı verilsin biz seçelim ücreti neyse verilir yeterki insanın içine sinsin
1.0	öncelikle özenli ve 2 günde ulaşan kargo için teşekkürler telefonu 1 gündür kullanıyorum baya bir araştırma yaptım tam fiyat performans telefonu kamerası söylendiği kadar kötü değil gündüz çekimleri gayet iyi iphone 6 dan geçtim A50 ye sadece ekranı biraz büyük geldi onun haricinde üründen gayet memnun kaldım alacaklara tavsiye ederim &#128077;
0.0	Telefon arızalı olduğu için değişime gitti Allahtan Vestel kabul etti dedeğiştirip yenisini gönderecek inşallah bekliyorum 
0.0	bataryası kötü gunde 3 kere edersenz şarzı
0.0	ürünü almamanızı tavsiye ederim bataryası vasat halde 1 gün bile cıkarmıyor bütün telefonlar buna bin basar iade edecem teli tabiki alırlarsa
1.0	Hepsiburada'ya teşekkür ediyorum ürün siparişimden 24 saat sonra ulaştı.şu ana alınabilecek iyi telefonlardan kamerası ve ara yüzü çok güzel yalnız cihaz israil sürümü ve arama tuşlarında ibranice yazılar var.garanti takıntısı olmayan herkese tavsiye ederim :
1.0	hic tereddut etmeden alabilirsiniz satici cok hizli ve ozel paketleme yapmis ustune ciksaniz kirilmaz telefona gelecek olursak orta sinifin en iyi telefonu kacirmayin
0.0	hepsiburada siparisimi cok gec gonderdi. musteri hizmetlerine ulasmada cok gucluk cektim. ilgi alaka, hizmet kalitesi berbat. bir daha hepsiburada dan hicbir sey almayi dusunmuyorum.
0.0	redmi 7-8 kullanın Samsung'un çöp olduğunu görürsünüz. Telefon güncellemeleri süper.
1.0	urun guzel 20 gündür kullaniyorum sıkıntı yasamadim satıcı ilgili sarj aletin de sıkıntı cikti telefon ile aradim hemen yenisini gonderdiler tavsiye ederim
1.0	ürün genel olarak güzel duruyo ancak beyazını samsung satarken siyahini farklı bir firma satıyormuş aldıktan sonra fark ettim. Hediye 2 eşyanın akıbetini sorduğumda hepsiburada cevapları anlamsız. Ne olacak belli değil biri açıklama yapsa keşke
1.0	bu ürünü bi arkadaşla beraber 2 yıl önceiki tane aldık bı güne kadar farklı farklı telefonlar kullandım bu telefondan sonra eşimede Venüs z20 aldımiki yıldır her hangi bir problem yaşamadım gerçekten alınabilecek bir telefon bu segment bir telefon arıyorsan kesinlikle kaçırma derim
0.0	Koskoca bir eksi aslında hata bende. Bir alt modelinde type c ve bataryanın hızlı şarj özelliği var diye bunu aldım. Malesef samsung hangi düşünce yapısı ile üretmiş anlamadım ama telefonda 2 saatte şarj oluyor. Micro usb seçeneği koymuş. Onun dışında özellikleri iyi ama acil işiniz varken şarj biterse Allah peygamber sabrı versin.
0.0	Ürüne internette marka model ile yazıp eleştirileri okumanızı öneririm.
1.0	herözelliği yeterli bn ceoyun oynamıyrumbnonun içinısınma yapmıyosesi çok çikıobi de saglamyere düsürdüm kaçkezsorun yokiyibi telefonbayaiş görüyobn ce butuntelefonlar aynıbn ce gerek yok fazla para vermeye
1.0	çok araştırıp bakındım honor 8x, xiaomi mi 8 lite , honor play arasında takılı kaldım bugün siparişini gerçekleştirdim. Yarın umarım tarafıma geçer, geçer geçmez cihaz hakkında bilgi paylaşacağım.
0.0	Arkadaşlar ürün donanımsal olarak güzel yalnız yazılım sorunlu. Bir çok kişi 4g lte de kopma yaşıyor, kimisinde hücre beklemede aşırı şarj yiyor, bende bildirimlerde sorun var. İşin özü şanslıysanız cihazda bir hata yoksa güzel telefon ama bu sorunlardan birisi çıkarsa cihazda kafayı yedirtiyor. Güncelleme ile geçer dediğiniz hiçbir sorun da düzelmiyor aksine yeni sorunlar çıkıyor. Ben kafam rahat etsin diyenlere öneremiyorum.
1.0	Ben 4 yıldır Asgent G7 modelini kullanıyordum. 1 ay önce oğluma P 20 modelini hiç düşünmeden aldım. Şimdide kendime mate 20 modelini aldım. Çok harika ve zarif bir telefon. Huawei gerçekten kalitesini kanıtlamış. Herkese tavsiye ediyorum. Fiatıda gayet makul. 4- 5 bin lik telefonlardan daha kaliteli. Hepsi burada ya ve uygun iletişime teşekkürler.
1.0	Öncelikle telefon elime 2 günde geçti.Bu kadar hızlı oldukları için hepsiburadaya müşekkirim.Telefonu merak edenler; Telefonun dış kısmı ince ve oldukça şık.Mavi renkle muhteşem bir uyum.Sarji çok iyi 1 gün oldu daha 30 şarj var.Parmak izi hızı ise mumkemmel.Hemen okuyor.Telefonun hızı deseniz oda süper.Bazi ağır oyunlarda kasma yapabilir.Oyun bağımlısı değilseniz almanızı kesinlikle tavsiye ederim.Her işinizi rahatlıkla yapabilirsiniz.Ve Türk markası olduğu için gurur duyuyorum.Bu fiyata bulunmaz nimet.Bana almayın diyenlere inat aldım.Size de tavsiyem almanızdır.
0.0	Ürün ekrana yapışmadı hava kabarcığı bıraktı
1.0	Satıcı kargoya 1 hafta sonra anca verdi o yüzden 1 puan kırdım. Alacaklara tavsiye ederim gerçekten çok şık bir telefon :
1.0	urun çok güzel ve kaliteli A9 alınabılır ama A7 bu fiyata hemde samsung turkiye garantili hiç kaçırma derim tesekkurler
0.0	5 aydır kullanıyorum, mecburen satmaya kalksam alan yok telefon şehir dışında kırsalda yaşıyorsanız birini arayana kadar sizi kahreder çekmiyor burada uzun uzun yazmaya gerek yok para verilip alınacak bir telefon kesinlikle değil bulaşmayın.
1.0	GÜZEL ÖZELLİKLİ BİR ÜRÜN
0.0	hepsi buradadan telefon alırkeniki kere düşünün
0.0	Arkadaşlar daha önceden telefonun kendi kendine kapandığını duymuştum üretim hatasıdır dedim ama 15 gündür kullandıgım telefon ne yazıkki kapanmaya başladı araştırdıgımda da resetlenme sorununun oldugunu anladım insallah güncellemeyle düzeltirler alıcaklara duyrulur.
1.0	iki ay oldu kullaniyorum bu fiyata 32gb parmak izi yuz tanima gayet basarili kamerasi hizli kisacasi on numara bir cihazaldigima hic pisman degilim fiyatina gore cok guzel bir telefon
0.0	tasarım güzel nfc olsaydı mutlaka alırdım
1.0	en uygunu
0.0	İlk başta her şey mükemmeldi. Sonradan fark ettim ki Ürün GPS navigasyonu sürekli bağlantı koparıyor. Arkadaşıma da aldırdım onda da aynı, mahcup oldum.
1.0	Şimdilik ürün ile ilgili bir sorun yaşamadık. İyi görünüyor.
0.0	LG3 iki yılı geçer geçmez mavi ekran sorunu oluştu. LG bir daha mı asla.
1.0	Uzun incelemelerden sonra karar verip aldım. Bu fiyata rakibi yok. Tek elle kullanılabiliyor. Pil performansı yoğun kullanımda 1 günü çıkarmaya haylice yeterli. Quick charge 3.0 destekli. Yanında gelen 1.8A'lık şarj cihazı ile 0dan 100'e şarjı yaklaşık 1 saat. Ek olarak 3A'lık şarj dahi alıp daha da hızlı hale gelebilirsiniz. Ürün zaten Snapdragon 820 + 4GB ram ile çok hızlı, o konuya girmeye gerek yok. Kamerası hem çok iyi hem de biri normal bir geniş açılı 2 lens ile farklı denemeler yapmak konusunda çok eğlenceli. Ürünün üzerinde yüklü olarak yazılımda alışıldık android menüsü yok, ama LG gelen şikayetler sonrasında bu konuda yazılım güncellemesi yapıp, menüyü klasik hali seçilebilir hale getirdi. Telefonu aldığınızda yazılımı güncelleyip klasik menü şekline geçiş yapabilirsiniz.
1.0	Fiyat performans ürünü harika
0.0	ürünu alalı 4 ay oldu ölü pixel oluştu
1.0	Sorunsuz müthiş !
1.0	Elime 1 günde ulaştı. Satıcı Hepsiburada, ithalatçı garantili aldım. Herşey güzel. Eksiksiz. Şu an için piyasadaki fiyat performansı en iyi olan ürün tartışmasız. 
1.0	güzel ürün. ele yakışıyor. çok araştırdım beğendim. yerli olması da cabası...bu fiyata yabancı alacağıma yerli alırım her işimi de görür......
0.0	ürün sıfır değil. maalesef bunu aylar sonra kırılan ekranı değiştirmek için açınca farkettim. hayalet ekran sorunu var. yeni ekran taktım. bu sefer de ekran gücü kendi kendine kesilmeye başladı. üzerine birkaç yüz lira ekleyin bayiden sıfır telefon alın.
0.0	telefon tr uyumsuz büyük bir şarz aleti ile geldi, batarya 2900 mah bu yüzden hoşuma gitmedi. bilseydim başka yerden alırdım yorumlara aldanarak aldım ayrıca delta garantili ne diyeyim almış bulunduk. inşallah bu yorumu yayınlarlar. eğer yayına alınmazsa demektir ki sadece iyi yapılan yorumları yayınlıyorlar. B
1.0	Ürünü bazı kullanıcıların olumsuz yorumlarına ragmen aldım ekranın full hd amoled olması ve fotoğraf kalitesi çok hoşuma gitti almayı düşünenlere tavsiye ederim
1.0	sorunsuz alışveriş oldu. ürün de beklediğim gibi özellikleri çok tatmin edici.
0.0	1 Yıldır kullanıyorum pek memnun kalmadım telefonun eksileri şunlar1-bataryası çok çabuk öldü yenisini aldık2 - telefon bir süre sonra çok yavaşlıyor3-telefonu aldıktan bir kaç ay sonra çok ısınmaya başlıyor4-kamerası güzel resim çekmiyor
1.0	Arkadaşlar ön sipariş ile aldım h818p serisi geldi,made in korea, ayrıca bu seride radyoda var çok mutlu oldum,şarj cihazı tr uyumlu, android 6.0. Yüklü geldi, üretim 2016 iyi denk geldi, ön siparişle Dahada uyguna geldi, bu fiyata bundan iyisi yok,teşekkürler....
1.0	Merhabalar ben 21.12 tarihinde sabah saat 00.30 civarında sipariş ettim cihazın mavi olanını çarşamba günü teslim edilecek diyor'da bu konuda biraz daha hızlı olabilir mi acaba ilginiz ve alakanızdan dolayı şimdiden teşekkür ederim umarım sorunsuz bir cihaz elime ulaşır.
0.0	özellikleri güzel ancak androidin fazla ram yemesi yetmiyormuş gibi samsung'un yazılımı da çok yiyor. pil konusunda ne kadar başarısız olduğunu hepimiz biliyoruz. pili 2 sene sonra çöp oluyor. sadece fiyatı 2300 bandı ve altında inerse tercih edilebilir
0.0	Yerli malı dedik iyi dedik hoş dedik. Lakin GPS berbat. Şehir dışına falan guvenip gitmeyin. ayrıca zaman zaman açılıp kapanıyor nedense. Bir de cehennem gibi ısınıyor şarj olurken. S3 kullandım yıllarca. Hiç böyle ısındığını bilmem. Haricinde hızı iyi. Fakat sadece hız önemli değil. J7 prime alın alırsanız. Bundan çok daha iyidir.
0.0	nfc yok ,hızlı şarj yok,micro usb portlu ,bu nasıl a7 2018 anlayamadım,a7 2017 daha iyi cihaz bu işte bir terslik var
1.0	ÇOK GÜZEL YATIRIMLIK.GÜVENLİ LİMAN ALTIN ALIŞVERİŞİ.GÜVENLİ MAĞAZA
1.0	Daha önce huawei marka telefon kullanmıştım, bu yüzden pil performansının çok iyi olduğunu biliyordum, ama bu telefon gerçekten iyi. Bütün gün elimde olmasına rağmen 2 günde bir şarj ediyorum. Öğleden sonra saat 15:00'te şarjı hala %81'de, sabah 08:00'den beri kullanıyorum. Dual sim hızını yavaşlatmamış, iki hat arasında geçiş yapmadan ikisinden de gelen çağrıları alabiliyorsunuz. İnterneti de hangi hattınızdan kullanabileceğinizi seçebiliyorsunuz.Whatsapp vs. tek hat üzerinden kullanabiliyorsunuz ama çok problem değil. Hızı gayet iyi Iphone'u aratmıyor, yaklaşık 1 haftadır kullanıyorum, ekranı Iphone'un büyük ekranlı telefonlarına göre daha ince uzun, hiç bir eksiği yok. Gayet düzgün bir ürün, kesinlikle tavsiye ederim 
0.0	Yazılım olarak abartmadan söylemek gerekse çöp. Batarya kötü kamera orta sınıf oyunlarda grafik hataları var. Bazen oha bu neden oldu dediğiniz çok şeyle karşıkaşırsınız kısacası ben pişman oldum
0.0	Çarşamba günü teslim edeceğiz dediniz Perşembe akşamına telefonla arayarak zor getirdiler.. sürat kargo ismin gibi hızlı olsan .. Hepsiburada yalancı çıktı..ürün guzel ama yildiriyolar ..
1.0	RAKIPLERINE TAŞCIKARAN BIR TELEFON OLMUŞ ÖZELLİKLE SUYA DAYANIKLI OLMASI .
0.0	Arkadaslar bundan önceki bütün yorumları yok sayın. Telefonun ince ayrıntılarını yazacağım size. Telefon Evo garantili geliyor. A8 in Sm A-8000 modeli. Diğer a8 ler android 6 alabilirken bu modelde kesinlikle güncelleme yok. Telefon her anlamda iyi evet ama güncellemesiz telefon çöptür diye bir deyim de var. Düşünün yeni Ux arayüzünü alamıyorsunuz. Bu model olduğunu bilsem kesinlikle almazdım. Şarj aleti dönüştürücülü geliyor ama sıkıntısı yok. Isınma sorunu her telde olduğu gibi bunda da var ama şarjın son rakamlarında fazla uygulama kullanılırsa 10 olan şarj iki dakika içinde bitip kapanıyor.Bunların dışında incecik telefon ama şuan iade edebilsem bir sn durmam ederim.
1.0	Telefondan gerçekten çok memnunum. Bataryası çok rahat bir şekilde 1,5 gün yetiyor  Gün içinde navigasyon, ara sıra oyun, çok sık şekilde whatsapp ve mail kullanıyorum.Kutusundan ekran koruyucu çıksaydı iyi olurdu. Hepsiburada'nın stoklarında da mevcut değil.
1.0	Ürünü Sipariş verdikten 2 gün sonra elime ulaştı. Üründe hiç bir kusur yok herşey sağlam ve düzenli, IMEI numarasınıda kontrol ettim aklımda başka soru işareti kalmasın diye. Herkese tavsiye ederim Üründe güzel hizmette güzel. Teşekkürler..
1.0	yaklaşık 4 gündür kullanıyorum özellikle bataryası çok iyi , yüz tanıma özelliği çok hızlı bir şekilde algılıyor ,ekran genişliği çok tatmin edici , 6gb ram geçişlerde farkını ortaya koyuyor , çekimlerde renkler ve keskinlik çok etkileyici.fiyat -performans olarak çok üst seviyede bir cihaz
0.0	ürün çok seri ve hızlı ama 1 parmak izi okuyucusu kafasına göre 2 pil ömrü günü çok zor çıkartıyor 3 yüz okuma oda aynı kafasına göre bunun dışında 4 kamerası benim hoşuma gitti pil sorun olmasa ürün çok iyi
0.0	Öncelikle merhabalar sözümü çok uzatmayacağım.Eğer ben navigasyon ve gps kullanmam diyorsanız fiyat-performans dengesine göre 1000 tl segmentinde alınabilecek telefonlardan biri.Öyle değilse sakın bulaşmayın bu cihaza sizi yanlış yola götürür.
1.0	samsung dan vazgeçmem Ekspres kargo ile bir günde teslim aldım.Teşekkürler Hepsi Burada
1.0	Aynı telefonu iki yıl önce ithalatçı garantili olarak aldım. Garanti süresi bitmesine 20 gün kala çift tıklayınca ekranı uyandırma özelliği randımanlı çalışmamaya başladı. Telefonu garantiye göndermeyi düşündüm ama son anda vazgeçtim. Çünkü tedarikçi Evo'ya daha önce gönderdiğim telefonda darbe olmamasına rağmen darbe var deyip 500 tl masraf çıkardılar. O yüzden böyle basit bir arıza için telefonumu riske atmak istemedim. Diğer yandan telefonun kamerası çok iyi. Neredeyse profesyonel kamerayı aratmıyor...
0.0	ben de bir çok arkadaş gibi yorumlara bakıp aldim. Daha önceden ürün inceleme videolarını izlemistim ve telefon çok hoşuma gitmişti. Bı de Vestel yerli malı biz kazanalim dedim. daha önce de Vestel su ısıtıcı almıştım ondan da hiç memnun kalmamama rağmen Neyse telefonu yaklaşık 5 aydır kullanıyorum ve telefon bazen kendiliğinden donuyor. geçenlerde kamerayı açamadım. eski telefonum olan G2 deki performansın çok çok altında. O yüzden acaba yerli malı diye ne olursa olsun almak mı mantıklı yoksa zaten güç bela para biriktiriyoruz adamakıllı baska bir marka mi almak??
1.0	Alırken xiaomi redmi note 7, mi 8 lite ve huawei mate 20 lite arasında kaldım, sonra içlerinde kamerası en iyi olan bu olduğu için bunu seçtim, pişman değilim.Kamerası gece ve az ışıkta da güzel fotoğraf çekiyor.Bataryası 3750 mah oyun oynamazsanız en az 2 gün gidiyor. 2 saatte doluyor. Klavyede kendi uygulaması olmayıp swiftkey yüklü gelmesi dışında yazılımı da beklediğimden iyi çıktı. Sar değerleri normal. Kulaklığı kötü, iş görür fakat bassı kötü, cızırdıyor sesi biraz açınca. Sarj aleti type-c, başkalarından bulması zor oluyor. Hoparlörü güzel. Kulaklık girişi var. Isınacak mı diye korktum açıkçası alırken fakat hiç sıkıntı olmadı. 
0.0	Samsung a50 ilk hafta karşı taraftan gelen sesi duymak çok zor.Bazen hiç duyulmuyor.tavsiye etmiyorum
